x=0.0465977  density=0.199389
x=0.244978  density=0.197731
x=0.599672  density=0.188609
x=1.107  density=0.15956
x=1.76159  density=0.100122
x=2.55651  density=0.0352631
x=3.48334  density=0.00506721
x=4.53224  density=0.000217478
x=5.69211  density=2.08678e-06
x=6.95064  density=3.44948e-09
x=8.29449  density=7.86393e-13
x=9.70943  density=2.08033e-17
x=11.1804  density=5.71397e-23
x=12.692  density=1.56658e-29
x=14.2279  density=4.46368e-37
x=15.7721  density=1.49756e-45
x=17.308  density=7.30444e-55
x=18.8196  density=6.95402e-65
x=20.2906  density=1.87562e-75
x=21.7055  density=2.22851e-86
x=23.0494  density=1.9191e-97
x=24.3079  density=2.05456e-108
x=25.4678  density=4.80725e-119
x=26.5167  density=4.34847e-129
x=27.4435  density=2.65545e-138
x=28.2384  density=1.85151e-146
x=28.893  density=2.37096e-153
x=29.4003  density=8.38897e-159
x=29.755  density=1.13728e-162
x=29.9534  density=7.45162e-165
